Year,FIPS,Income
2018,51171,43613.0
2018,51173,35962.0
2018,51179,54232.0
2018,51181,42953.0
2018,51183,30468.0
2018,51185,36685.0
2018,51187,44986.0
2018,51193,42276.0
2018,51197,34606.0
2018,51510,86463.0
2018,51550,48251.0
2018,51650,40557.0
2018,51700,38836.0
2018,51710,38313.0
2018,51740,38068.0
2018,51760,53061.0
2018,51770,41237.0
2018,51800,49889.0
2018,51810,54558.0
2018,51901,72455.0
2018,51903,37870.0
2018,51907,42586.0
2018,51911,36966.0
2018,51913,35198.0
2018,51918,37508.0
2018,51919,81955.0
2018,51921,49307.0
2018,51923,30148.0
2018,51929,36925.0
2018,51931,61913.0
2018,51933,36652.0
2018,51939,35835.0
2018,51941,34485.0
2018,51942,53655.0
2018,51944,49616.0
2018,51945,38428.0
2018,51947,39164.0
2018,51949,39758.0
2018,51951,50016.0
2018,51953,38944.0
2018,51955,32442.0
2018,51958,57077.0
2019,51001,47778.0
2019,51007,43316.0
2019,51009,38001.0
2019,51011,38778.0
2019,51013,96175.0
2019,51017,63199.0
2019,51019,47725.0
2019,51021,37048.0
2019,51023,51185.0
2019,51025,33384.0
2019,51027,36995.0
2019,51029,31165.0
2019,51033,43254.0
2019,51036,49430.0
2019,51037,36348.0
2019,51041,54302.0
2019,51043,67248.0
2019,51045,40189.0
2019,51047,48800.0
2019,51049,38323.0
2019,51051,33603.0
2019,51057,43721.0
2019,51061,70734.0
2019,51063,39717.0
2019,51065,46187.0
2019,51067,43385.0
2019,51071,40171.0
2019,51073,48895.0
2019,51075,100383.0
2019,51077,31853.0
2019,51079,44447.0
2019,51083,36432.0
2019,51085,60976.0
2019,51087,67523.0
2019,51091,43089.0
2019,51093,55316.0
2019,51097,46783.0
2019,51099,55544.0
2019,51101,47242.0
2019,51103,61163.0
2019,51105,31307.0
2019,51107,81966.0
2019,51109,44195.0
2019,51111,33138.0
2019,51113,47732.0
2019,51115,58763.0
2019,51117,37765.0
2019,51119,52643.0
