Year,County,Income
2019,51131,53961
2020,51131,59493
2021,51131,66944
2022,51131,64220
2008,51133,36267
2009,51133,36230
2010,51133,36530
2011,51133,39142
2012,51133,41649
2013,51133,41561
2014,51133,43942
2015,51133,45224
2016,51133,47702
2017,51133,49462
2018,51133,50962
2019,51133,56461
2020,51133,59113
2021,51133,62129
2022,51133,61421
2008,51135,29809
2009,51135,28981
2010,51135,28793
2011,51135,29217
2012,51135,28913
2013,51135,28408
2014,51135,29737
2015,51135,30901
2016,51135,31425
2017,51135,32262
2018,51135,32738
2019,51135,34418
2020,51135,37003
2021,51135,42482
2022,51135,44913
2008,51137,36542
2009,51137,36783
2010,51137,37713
2011,51137,39278
2012,51137,42268
2013,51137,42576
2014,51137,43625
2015,51137,45527
2016,51137,47131
2017,51137,48792
2018,51137,50031
2019,51137,52422
2020,51137,55580
2021,51137,59065
2022,51137,58942
2008,51139,29552
2009,51139,29438
2010,51139,30695
2011,51139,31813
2012,51139,31829
2013,51139,31824
2014,51139,33172
2015,51139,35075
2016,51139,35808
2017,51139,36601
2018,51139,37646
2019,51139,39316
2020,51139,41945
2021,51139,46386
2022,51139,49085
2008,51141,25576
2009,51141,25636
2010,51141,26522
2011,51141,27425
2012,51141,27957
2013,51141,27728
2014,51141,28950
2015,51141,30166
2016,51141,30623
2017,51141,31883
2018,51141,32600
2019,51141,33442
2020,51141,36305
2021,51141,39098
2022,51141,40272
2008,51939,27884
2009,51939,27944
2010,51939,28514
2011,51939,29524
2012,51939,30175
2013,51939,30527
2014,51939,31759
2015,51939,32872
2016,51939,33433
2017,51939,34582
2018,51939,35835
2019,51939,37261
2020,51939,40604
2021,51939,43930
2022,51939,44986
2008,51740,33333
2009,51740,33479
2010,51740,34543
2011,51740,35708
2012,51740,35015
2013,51740,34774
2014,51740,35157
2015,51740,35920
2016,51740,36063
2017,51740,37738
2018,51740,38068
2019,51740,39852
2020,51740,43042
2021,51740,45825
2022,51740,46025
2008,51145,40429
2009,51145,38877
2010,51145,39668
2011,51145,41212
2012,51145,43725
2013,51145,44060
2014,51145,46103
2015,51145,49863
2016,51145,52063
2017,51145,54234
2018,51145,56106
2019,51145,60321
2020,51145,60942
2021,51145,64880
2022,51145,67908
2008,51147,23789
2009,51147,23517
2010,51147,24062
2011,51147,25830
2012,51147,26061
2013,51147,26429
2014,51147,27117
2015,51147,28102
2016,51147,29288
2017,51147,31163
2018,51147,31591
2019,51147,33237
2020,51147,35765
2021,51147,38914
2022,51147,39525
2008,51941,32124
2009,51941,31323
2010,51941,32301
2011,51941,32752
2012,51941,33226
2013,51941,32712
2014,51941,33185
2015,51941,33633
2016,51941,33163
2017,51941,34161
2018,51941,34485
2019,51941,35290
2020,51941,37703
2021,51941,39464
2022,51941,39733
2008,51155,30164
2009,51155,29681
2010,51155,30648
2011,51155,32117
2012,51155,33393
2013,51155,33417
2014,51155,34872
2015,51155,36184
2016,51155,36437
2017,51155,37468
2018,51155,39314
2019,51155,39462
2020,51155,42545
2021,51155,46473
2022,51155,48108
2008,51157,50775
2009,51157,49211
2010,51157,48613
2011,51157,51697
2012,51157,54079
2013,51157,53635
2014,51157,54341
2015,51157,55216
2016,51157,57397
2017,51157,59792
2018,51157,64111
2019,51157,67515
2020,51157,70931
2021,51157,76658
2022,51157,79425
2008,51760,45723
2009,51760,41016
2010,51760,42175
2011,51760,45052
2012,51760,48146
2013,51760,45308
2014,51760,47096
2015,51760,49380
2016,51760,49948
2017,51760,52355
2018,51760,53061
2019,51760,56661
2020,51760,62602
2021,51760,68799
2022,51760,71174
2008,51159,26571
2009,51159,26772
2010,51159,26674
2011,51159,27957
2012,51159,29674
2013,51159,30160
2014,51159,31571
2015,51159,33164
2016,51159,34767
2017,51159,35724
2018,51159,37251
2019,51159,37734
2020,51159,41905
2021,51159,43849
2022,51159,42685
2008,51770,35118
2009,51770,34140
2010,51770,35343
2011,51770,36595
2012,51770,38277
2013,51770,37061
2014,51770,37702
2015,51770,39303
2016,51770,38914
2017,51770,39728
2018,51770,41237
2019,51770,41789
2020,51770,45563
2021,51770,49714
2022,51770,50807
2008,51944,42036
2009,51944,41212
2010,51944,41647
2011,51944,42574
2012,51944,44999
2013,51944,43598
2014,51944,44837
2015,51944,47094
2016,51944,47654
2017,51944,48289
2018,51944,49616
2019,51944,50582
2020,51944,53180
2021,51944,57071
2022,51944,59109
2008,51947,30279
2009,51947,29336
2010,51947,30568
2011,51947,31740
2012,51947,32613
2013,51947,33047
2014,51947,34648
2015,51947,36638
2016,51947,35729
2017,51947,37635
2018,51947,39164
2019,51947,40536
2020,51947,43349
2021,51947,48056
2022,51947,51466
2008,51167,27997
2009,51167,28353
2010,51167,28905
2011,51167,29910
2012,51167,30015
2013,51167,29005
2014,51167,29685
2015,51167,30445
2016,51167,30992
2017,51167,31802
2018,51167,33361
2019,51167,34322
2020,51167,37054
2021,51167,39578
2022,51167,40218
2008,51169,26740
2009,51169,26047
2010,51169,26788
2011,51169,28607
2012,51169,28506
2013,51169,28339
2014,51169,29255
2015,51169,30068
2016,51169,30646
2017,51169,31094
2018,51169,32710
2019,51169,33595
2020,51169,35773
2021,51169,38845
2022,51169,39605
2008,51171,33188
2009,51171,32359
2010,51171,33428
2011,51171,34987
2012,51171,35925
2013,51171,36235
2014,51171,38190
2015,51171,40040
2016,51171,40610
2017,51171,41623
2018,51171,43613
2019,51171,46093
2020,51171,49287
2021,51171,54485
2022,51171,56745
2008,51173,27576
2009,51173,27396
2010,51173,28191
2011,51173,29673
2012,51173,30548
2013,51173,31081
2014,51173,32643
2015,51173,33588
2016,51173,34419
2017,51173,35032
2018,51173,35962
2019,51173,37261
2020,51173,40203
2021,51173,43209
2022,51173,44461
2008,51949,30420
2009,51949,30382
2010,51949,29652
2011,51949,31817
2012,51949,34496
2013,51949,34604
2014,51949,35154
2015,51949,36246
2016,51949,37622
2017,51949,38871
2018,51949,39758
2019,51949,41998
2020,51949,45518
2021,51949,49029
2022,51949,50266
2008,51951,40540
2009,51951,40855
2010,51951,41759
2011,51951,43300
2012,51951,44229
2013,51951,43786
2014,51951,44741
2015,51951,46222
2016,51951,47285
2017,51951,48659
2018,51951,50016
2019,51951,52041
2020,51951,56272
2021,51951,60595
2022,51951,62617
2008,51179,45423
2009,51179,46212
2010,51179,47301
2011,51179,48676
2012,51179,49490
2013,51179,48758
2014,51179,49158
2015,51179,50607
2016,51179,51527
2017,51179,52856
2018,51179,54232
2019,51179,55794
2020,51179,59185
2021,51179,62717
2022,51179,65233
2008,51800,41685
2009,51800,41552
2010,51800,42364
2011,51800,43786
2012,51800,45646
2013,51800,44627
2014,51800,45544
2015,51800,47325
2016,51800,48650
2017,51800,49466
2018,51800,49889
2019,51800,51596
2020,51800,54783
2021,51800,59366
2022,51800,60770
2008,51181,33135
2009,51181,33467
2010,51181,33081
2011,51181,34362
2012,51181,34997
2013,51181,35200
2014,51181,36767
2015,51181,39937
2016,51181,39148
2017,51181,41641
2018,51181,42953
2019,51181,42805
2020,51181,46414
2021,51181,51886
2022,51181,52428
2008,51183,25909
2009,51183,25786
2010,51183,26179
2011,51183,26551
2012,51183,27038
2013,51183,27330
2014,51183,27224
2015,51183,27973
2016,51183,28212
2017,51183,29452
2018,51183,30468
2019,51183,31982
2020,51183,34627
2021,51183,38068
2022,51183,37755
2008,51185,31241
2009,51185,31222
2010,51185,31160
2011,51185,32823
2012,51185,33668
2013,51185,32882
2014,51185,33420
2015,51185,33555
2016,51185,32877
2017,51185,35657
2018,51185,36685
2019,51185,37642
2020,51185,40281
2021,51185,42923
2022,51185,43986
2008,51810,44908
2009,51810,43896
2010,51810,44787
2011,51810,46425
2012,51810,48178
2013,51810,47295
2014,51810,49260
2015,51810,51284
2016,51810,52697
2017,51810,54531
2018,51810,54558
2019,51810,56348
2020,51810,59597
2021,51810,64454
2022,51810,65986
2008,51187,36955
2009,51187,36662
2010,51187,38131
2011,51187,40374
2012,51187,39780
2013,51187,39033
2014,51187,38409
2015,51187,41363
2016,51187,43096
2017,51187,43723
2018,51187,44986
2019,51187,47221
2020,51187,50951
2021,51187,54916
2022,51187,56144
2008,51953,36164
2009,51953,33688
2010,51953,32954
2011,51953,35639
2012,51953,37814
2013,51953,36340
2014,51953,36314
2015,51953,36603
2016,51953,35976
2017,51953,37810
2018,51953,38944
2019,51953,40192
2020,51953,42738
2021,51953,45963
2022,51953,46706
2008,51193,33070
2009,51193,33118
2010,51193,33679
2011,51193,35027
2012,51193,36126
2013,51193,36011
2014,51193,37354
2015,51193,38288
2016,51193,39805
2017,51193,41196
2018,51193,42276
2019,51193,44487
2020,51193,48096
2021,51193,50698
2022,51193,50626
2008,51955,27462
2009,51955,28646
2010,51955,30434
2011,51955,31356
2012,51955,30612
2013,51955,29393
2014,51955,30107
2015,51955,30451
2016,51955,30257
2017,51955,30920
2018,51955,32442
2019,51955,33793
2020,51955,37115
2021,51955,40444
2022,51955,41103
2008,51197,29284
2009,51197,28532
2010,51197,28510
2011,51197,29147
2012,51197,29850
2013,51197,29065
2014,51197,30852
2015,51197,32040
2016,51197,32418
2017,51197,33635
2018,51197,34606
2019,51197,36159
